,author,date,link,title,status
0,Manwar Ali,Oct 2016,https://www.ted.com/talks/manwar_ali_inside_the_mind_of_a_former_radical_jihadist?language=zh-tw,窺探前激進聖戰士的內心,0
1,Pico Iyer,Oct 2016,https://www.ted.com/talks/pico_iyer_the_beauty_of_what_we_ll_never_know?language=zh-tw,未知的美麗,0
2,Ellen Jorgensen,Oct 2016,https://www.ted.com/talks/ellen_jorgensen_what_you_need_to_know_about_crispr?language=zh-tw,關於 CRISPR，你該知道什麼？,0
3,Sam Harris,Sep 2016,https://www.ted.com/talks/sam_harris_can_we_build_ai_without_losing_control_over_it?language=zh-tw,我們能打造不會失控的人工智慧？,0
4,Oded Shoseyov,Sep 2016,https://www.ted.com/talks/oded_shoseyov_how_we_re_harnessing_nature_s_hidden_superpowers?language=zh-tw,我們如何駕馭大自然隱藏的超能力,0
5,J.D. Vance,Sep 2016,https://www.ted.com/talks/j_d_vance_america_s_forgotten_working_class?language=zh-tw,被遺忘的美國勞工階層家庭與他們的困境,0
6,Rebecca MacKinnon,Sep 2016,https://www.ted.com/talks/rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights?language=zh-tw,我們不必犧牲我們的權利去對抗恐怖主義,0
7,Sebastian Kraves,Sep 2016,https://www.ted.com/talks/sebastian_kraves_the_era_of_personal_dna_testing_is_here?language=zh-tw,個人基因分析的時代已經到來,0
8,Abigail Marsh,Sep 2016,https://www.ted.com/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others?language=zh-tw,為什麼有些人特別博愛？,0
9,Michael Shellenberger,Sep 2016,https://www.ted.com/talks/michael_shellenberger_how_fear_of_nuclear_power_is_hurting_the_environment?language=zh-tw,恐核如何對環境造成傷害,0
10,Franz Freudenthal,Sep 2016,https://www.ted.com/talks/franz_freudenthal_a_new_way_to_heal_hearts_without_surgery?language=zh-tw,不用手術卻能治療心臟病的新方法,0
11,David Camarillo,Sep 2016,https://www.ted.com/talks/david_camarillo_why_helmets_don_t_prevent_concussions_and_what_might?language=zh-tw,為什麼頭盔竟無法防止腦震盪發生 — 怎麼可能,0
12,Courtney E. Martin,Sep 2016,https://www.ted.com/talks/courtney_martin_the_new_american_dream?language=zh-tw,新美國夢,0
13,Sal Khan,Sep 2016,https://www.ted.com/talks/sal_khan_let_s_teach_for_mastery_not_test_scores?language=zh-tw,教育不是為了分數,0
14,James Veitch,Sep 2016,https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe?language=zh-tw,退訂之煩惱,0
15,Jonathan Tepperman,Sep 2016,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=zh-tw,在危機中前行的政治,0
16,Julia Bacha,Aug 2016,https://www.ted.com/talks/julia_bacha_how_women_wage_conflict_without_violence?language=zh-tw,女性如何運用非暴力發動衝突,0
17,Vanessa Ruiz,Aug 2016,https://www.ted.com/talks/vanessa_ruiz_the_spellbinding_art_of_human_anatomy?language=zh-tw,迷人的人體解剖學藝術,0
18,Don Tapscott,Aug 2016,https://www.ted.com/talks/don_tapscott_how_the_blockchain_is_changing_money_and_business?language=zh-tw,區塊鍊將如何改變金融與企業,0
19,Laura Boushnak,Aug 2016,https://www.ted.com/talks/laura_boushnak_the_deadly_legacy_of_cluster_bombs?language=zh-tw,致命的榴霰彈遺禍,0
20,Olivier Scalabre,Aug 2016,https://www.ted.com/talks/olivier_scalabre_the_next_manufacturing_revolution_is_here?language=zh-tw,下一個工業上的紀元已經到來。,0
21,Gonzalo Vilariño,Aug 2016,https://www.ted.com/talks/gonzalo_vilarino_how_argentina_s_blind_soccer_team_became_champions?language=zh-tw,阿根廷盲人足球隊奪冠歷程,0
22,Monica Araya,Aug 2016,https://www.ted.com/talks/monica_araya_a_small_country_with_big_ideas_to_get_rid_of_fossil_fuels?language=zh-tw,小國家的大夢想：廢除石油的使用,0
23,Dave Brain,Aug 2016,https://www.ted.com/talks/dave_brain_what_a_planet_needs_to_sustain_life?language=zh-tw,行星維持生命存在的要素,0
24,Ngozi Okonjo-Iweala,Aug 2016,https://www.ted.com/talks/ngozi_okonjo_iweala_how_africa_can_keep_rising?language=zh-tw,非洲如何可以繼續崛起,0
25,Martin Reeves,Aug 2016,https://www.ted.com/talks/martin_reeves_how_to_build_a_business_that_lasts_100_years?language=zh-tw,如何建立一個百年企業,0
26,Anthony Goldbloom,Aug 2016,https://www.ted.com/talks/anthony_goldbloom_the_jobs_we_ll_lose_to_machines_and_the_ones_we_won_t?language=zh-tw,即將要被機器取代以及無法取代的工作,0
27,Suzanne Simard,Jul 2016,https://www.ted.com/talks/suzanne_simard_how_trees_talk_to_each_other?language=zh-tw,樹木如何彼此交談,0
28,Ed Boyden,Jul 2016,https://www.ted.com/talks/ed_boyden_baby_diapers_inspired_this_new_way_to_study_the_brain?language=zh-tw,由嬰兒尿布所啟發的大腦研究新法,0
29,Gerard Ryle,Jul 2016,https://www.ted.com/talks/gerard_ryle_how_the_panama_papers_journalists_broke_the_biggest_leak_in_history?language=zh-tw,國際調查記者同盟：巴拿馬文件的英雄,0
30,Lisa Dyson,Jul 2016,https://www.ted.com/talks/lisa_dyson_a_forgotten_space_age_technology_could_change_how_we_grow_food?language=zh-tw,能改變農業的塵封太空科技,0
31,Adam Savage,Jul 2016,https://www.ted.com/talks/adam_savage_my_love_letter_to_cosplay?language=zh-tw,我寫給角色扮演的情書,0
32,Shubhendu Sharma,Jul 2016,https://www.ted.com/talks/shubhendu_sharma_how_to_grow_a_forest_in_your_backyard?language=zh-tw,如何在你的後院種植一片森林,0
33,Eric Haseltine,Jul 2016,https://www.ted.com/talks/eric_haseltine_what_will_be_the_next_big_scientific_breakthrough?language=zh-tw,下個科學大突破將會是甚麼？,0
34,Leila Hoteit,Jul 2016,https://www.ted.com/talks/leila_hoteit_3_lessons_on_success_from_an_arab_businesswoman?language=zh-tw,來自阿拉伯女實業家的三個關於成功的告誡,0
35,Elise Roy,Jul 2016,https://www.ted.com/talks/elise_roy_when_we_design_for_disability_we_all_benefit?language=zh-tw,當我們為殘疾人士設計，大家都能受益,0
36,Safwat Saleem,Jul 2016,https://www.ted.com/talks/safwat_saleem_why_i_keep_speaking_up_even_when_people_mock_my_accent?language=zh-tw,當别人嘲笑我的口音時，為什麼我還繼續開口？,0
37,Alexander Betts,Jul 2016,https://www.ted.com/talks/alexander_betts_why_brexit_happened_and_what_to_do_next?language=zh-tw,英國為什麼選擇脫歐 － 現在我們該怎麼做,0
38,Marwa Al-Sabouni,Jul 2016,https://www.ted.com/talks/marwa_al_sabouni_how_syria_s_architecture_laid_the_foundation_for_brutal_war?language=zh-tw,敘利亞的建築如何成為了殘酷的戰爭的溫床,0
