,last,status,title
0,2.2,Success,Deborah Rhode：一項更有效找到3倍多乳癌偵測技術的發明故事，以及它至今鮮為人知的原因.txt
1,2.2,Success,Daniel Kraft 發明抽取骨髓的更好方法.txt
2,1.5714285714285714,Success,菲爾韓森 (Phil Hansen): 擁抱顫抖.txt
3,2.2,Success,3D 列印的巨型客機？.txt
4,2.75,Success,各樣色彩的膚色之美.txt
5,3.5,Success,Vik Muniz 用鐵絲和糖創作藝術.txt
6,Failed,Failed,我的建築哲學？就是把群眾帶進來參與建造過程！.txt
7,8.333333333333334,Success,伯特●魯坦(Burt Rutan)眼中太空的未來.txt
8,4.428571428571429,Success,奇連耍寶 - 近景纸牌魔术.txt
9,2.2,Success,狄米特 薩塞羅夫:發現數百顆類似地球的行星.txt
10,3.3076923076923075,Success,艾麗森•杭特的新髖骨.txt
11,2.2,Success,羅勃．巴拉德(Robert Ballard)談海洋的探索.txt
12,2.2,Success,喬漢娜·布雷克里（Johanna Blakley） : 社會媒體和性別區分的終結.txt
13,2.2,Success,丹尼斯．洪（音譯）為盲人打造汽車.txt
14,Failed,Failed,泰瑞‧摩爾：如何綁鞋帶.txt
15,2.2,Success,丹尼爾．保立：海洋基準線的改變.txt
16,2.2,Success,史帝夫 芮茲：在南布朗士區種綠色植物的老師.txt
17,Failed,Failed,我們濫食的四類魚 —— 以及其他選擇.txt
18,2.2,Success,費爾 博格斯：瀕危文化.txt
19,2.2,Success,強納生 艾森：認識你的微生物群.txt
20,2.2,Success,奈麗‧麥凱演唱「Clonie」.txt
21,2.2,Success,希娜-艾因嘉：選擇的藝術.txt
22,Failed,Failed,Jane McGonigal：可以使你多出十年壽命的遊戲.txt
23,2.2,Success,迪恩．卡門：發明背後的情感.txt
24,2.2,Success,麥克·比德爾 : 我們能回收塑膠.txt
25,Failed,Failed,繁忙紐約的地底公園.txt
26,2.2,Success,阿努潘·米什拉：古代儲水的巧妙設計.txt
27,2.2,Success,Natalie Jeremijenko：轉換生態思維的藝術.txt
28,2.2,Success,陳凱斯：你的語言會影響你的儲蓄能力嗎？.txt
29,2.2,Success,安柏凱斯：我們都是賽博格（機器生化物）.txt
30,Failed,Failed,Baba Shiv: 有時候，將決定權交給別人也不錯—談決策方式。.txt
31,2.2,Success,Thomas Goetz：重新設計體檢報告吧.txt
32,Failed,Failed,為什麽我必須站出來.txt
33,3.5555555555555554,Success,對婦女施暴——是男人的問題.txt
34,2.909090909090909,Success,沃爾赫斯特：可以吃的風景.txt
35,2.2,Success,彩繪如何改變社區.txt
36,2.2,Success,花形遮星板能幫助我們探測到類似地球的行星.txt
37,2.2,Success,建立中美關係.txt
38,Failed,Failed,亞歷山大‧席亞瑞斯：從受孕到出生—視覺化影像.txt
39,Failed,Failed,Aaron Huey: 美國原住民戰俘.txt
40,Failed,Failed,大衛．普格：簡單就好賣.txt
41,Failed,Failed,怪異的昆蟲性行給我們的啓發.txt
42,2.2,Success,Tim Berners-Lee 談網絡的未來.txt
43,2.2,Success,珍妮佛‧波卡：打造更好的政府.txt
44,2.2,Success,娜塔莉莫尚：歌聲讓舊詩重獲新生.txt
45,Failed,Failed,自然最令人厭惡的生物的秘訣：導入到機器人技術開發.txt
46,1.8333333333333333,Success,Gregory Petsko 談即將爆發的神經性疾病流行.txt
47,2.1666666666666665,Success,詹姆士•華生的 DNA 探索之旅.txt
48,2.2,Success,.txt
49,4.2,Success,Heribert Watzke: 消化道中的腦.txt
50,2.2,Success,Eva Vertes 展望未來醫療.txt
51,2.2,Success,Julian Treasure：保持聽力的八個步驟.txt
52,Failed,Failed,為什麼氣候變遷是人權威脅.txt
53,1.8333333333333333,Success,只需要一點幫忙，腦部或許能自我修復。.txt
54,Failed,Failed,盲人科技，走訪人間.txt
55,3.909090909090909,Success,丹尼爾•丹尼特談危險的模因.txt
56,2.4615384615384617,Success,莫瑞‧蓋曼(Murray Gell-Mann)談物理之美與真相.txt
57,2.2,Success,Paul Rothemund 詳細解說 DNA 摺疊術.txt
58,2.2,Success, 協同合作.txt
59,2.75,Success,Molly Crockett 談小心「神經胡說」.txt
60,1.8333333333333333,Success,Joseph Pine-什麼是顧客真正想要的？.txt
61,6.0,Success,喬漢娜布萊克利: 學習時尚界的自由文化.txt
62,2.2,Success,Aparna Rao: (帶幽默感的) 高科技藝術.txt
63,2.2,Success,黛德麗: 你可以開的飛機.txt
64,2.2,Success,Saul Griffith 在風箏上看到再生性能源的未來.txt
65,2.2,Success,全球 LGBT 人士的生活是這樣的.txt
66,Failed,Failed,由漫畫引出的假設分析.txt
67,Failed,Failed,為什麼鯨魚糞便值得關注.txt
68,2.2,Success,蘭尼克斯（Annie Lennox ）：爲什麽我要從事愛滋病防治運動.txt
